Category: All categories

Week,gas furnace: (United States)
2018-01-07,51
2018-01-14,54
2018-01-21,36
2018-01-28,37
2018-02-04,38
2018-02-11,29
2018-02-18,33
2018-02-25,30
2018-03-04,34
2018-03-11,28
2018-03-18,26
2018-03-25,24
2018-04-01,25
2018-04-08,22
2018-04-15,23
2018-04-22,17
2018-04-29,19
2018-05-06,16
2018-05-13,13
2018-05-20,13
2018-05-27,16
2018-06-03,12
2018-06-10,14
2018-06-17,11
2018-06-24,13
2018-07-01,14
2018-07-08,14
2018-07-15,14
2018-07-22,15
2018-07-29,14
2018-08-05,15
2018-08-12,15
2018-08-19,15
2018-08-26,15
2018-09-02,15
2018-09-09,20
2018-09-16,17
2018-09-23,28
2018-09-30,32
2018-10-07,43
2018-10-14,70
2018-10-21,54
2018-10-28,37
2018-11-04,48
2018-11-11,71
2018-11-18,48
2018-11-25,48
2018-12-02,54
2018-12-09,45
2018-12-16,36
2018-12-23,37
2018-12-30,42
2019-01-06,41
2019-01-13,45
2019-01-20,52
2019-01-27,59
2019-02-03,39
2019-02-10,38
2019-02-17,35
2019-02-24,37
2019-03-03,41
2019-03-10,25
2019-03-17,23
2019-03-24,21
2019-03-31,19
2019-04-07,19
2019-04-14,16
2019-04-21,19
2019-04-28,18
2019-05-05,12
2019-05-12,17
2019-05-19,15
2019-05-26,15
2019-06-02,11
2019-06-09,15
2019-06-16,14
2019-06-23,14
2019-06-30,12
2019-07-07,14
2019-07-14,15
2019-07-21,15
2019-07-28,15
2019-08-04,14
2019-08-11,13
2019-08-18,15
2019-08-25,13
2019-09-01,16
2019-09-08,17
2019-09-15,19
2019-09-22,20
2019-09-29,33
2019-10-06,45
2019-10-13,52
2019-10-20,43
2019-10-27,54
2019-11-03,57
2019-11-10,62
2019-11-17,43
2019-11-24,41
2019-12-01,40
2019-12-08,37
2019-12-15,42
2019-12-22,33
2019-12-29,31
2020-01-05,35
2020-01-12,37
2020-01-19,42
2020-01-26,30
2020-02-02,33
2020-02-09,32
2020-02-16,33
2020-02-23,29
2020-03-01,24
2020-03-08,23
2020-03-15,18
2020-03-22,17
2020-03-29,16
2020-04-05,18
2020-04-12,19
2020-04-19,18
2020-04-26,15
2020-05-03,18
2020-05-10,18
2020-05-17,14
2020-05-24,17
2020-05-31,15
2020-06-07,14
2020-06-14,14
2020-06-21,16
2020-06-28,13
2020-07-05,17
2020-07-12,15
2020-07-19,14
2020-07-26,15
2020-08-02,18
2020-08-09,18
2020-08-16,16
2020-08-23,16
2020-08-30,18
2020-09-06,23
2020-09-13,22
2020-09-20,29
2020-09-27,31
2020-10-04,35
2020-10-11,34
2020-10-18,42
2020-10-25,52
2020-11-01,39
2020-11-08,37
2020-11-15,47
2020-11-22,37
2020-11-29,47
2020-12-06,44
2020-12-13,47
2020-12-20,39
2020-12-27,43
2021-01-03,37
2021-01-10,37
2021-01-17,35
2021-01-24,46
2021-01-31,44
2021-02-07,50
2021-02-14,77
2021-02-21,38
2021-02-28,31
2021-03-07,26
2021-03-14,29
2021-03-21,25
2021-03-28,29
2021-04-04,23
2021-04-11,23
2021-04-18,24
2021-04-25,20
2021-05-02,18
2021-05-09,22
2021-05-16,20
2021-05-23,20
2021-05-30,20
2021-06-06,18
2021-06-13,20
2021-06-20,17
2021-06-27,20
2021-07-04,13
2021-07-11,15
2021-07-18,15
2021-07-25,16
2021-08-01,14
2021-08-08,16
2021-08-15,15
2021-08-22,20
2021-08-29,20
2021-09-05,22
2021-09-12,24
2021-09-19,25
2021-09-26,28
2021-10-03,28
2021-10-10,31
2021-10-17,43
2021-10-24,51
2021-10-31,58
2021-11-07,42
2021-11-14,46
2021-11-21,42
2021-11-28,41
2021-12-05,41
2021-12-12,39
2021-12-19,40
2021-12-26,37
2022-01-02,54
2022-01-09,51
2022-01-16,48
2022-01-23,53
2022-01-30,58
2022-02-06,37
2022-02-13,41
2022-02-20,40
2022-02-27,30
2022-03-06,33
2022-03-13,28
2022-03-20,26
2022-03-27,26
2022-04-03,22
2022-04-10,21
2022-04-17,24
2022-04-24,19
2022-05-01,18
2022-05-08,17
2022-05-15,16
2022-05-22,16
2022-05-29,15
2022-06-05,14
2022-06-12,17
2022-06-19,18
2022-06-26,16
2022-07-03,16
2022-07-10,17
2022-07-17,17
2022-07-24,14
2022-07-31,16
2022-08-07,17
2022-08-14,16
2022-08-21,16
2022-08-28,14
2022-09-04,17
2022-09-11,20
2022-09-18,27
2022-09-25,36
2022-10-02,41
2022-10-09,39
2022-10-16,52
2022-10-23,38
2022-10-30,31
2022-11-06,36
2022-11-13,68
2022-11-20,47
2022-11-27,43
2022-12-04,39
2022-12-11,47
2022-12-18,100
2022-12-25,60
